Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,6,1,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,378,,,,378,,2553,,,0
H5,2020,2020,2020,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,309270,,,,309270,,1028578,,,0
H5,2020,2020,2020,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,151922,,,,151922,,2948614,,,6
H5,2020,2020,2020,6,1,1,Import,842,USA,USA,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,671560986,,,,671560986,,10573120,,,0
H5,2020,2020,2020,6,1,2,Export,842,USA,USA,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1242334416,,,,1242334416,,8915239,,,0
H5,2020,2020,2020,6,1,3,Re-Export,842,USA,USA,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,10382541,,,,10382541,,168159,,,0
H5,2020,2020,2020,6,1,1,Import,858,Uruguay,URY,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,100,,,,100,,300,,,0
H5,2020,2020,2020,6,1,1,Import,860,Uzbekistan,UZB,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,11,,,,11,,4188,,,0
H5,2020,2020,2020,6,1,1,Import,894,Zambia,ZMB,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,61,,,,61,,1389,,,0
H5,2020,2020,2020,6,1,2,Export,894,Zambia,ZMB,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,93240,,,,93240,,74184,,,0
H4,2020,2020,2020,6,1,1,Import,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,27434,,,,27434,,26677,,,0
H4,2020,2020,2020,6,1,1,Import,484,Mexico,MEX,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",12,Volume in cubic meters,213,,,,0,,10559,,,0
H4,2020,2020,2020,6,1,1,Import,533,Aruba,ABW,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,68016,,,,68016,,194680,,,0
H4,2020,2020,2020,6,1,2,Export,533,Aruba,ABW,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,450,,,,450,,2476,,,0
